"","link","nombre","direccion","localidad","provincia","pais","telefono","google_link","coordenadas","web_oficial"
"82","http://www.alternativateatral.com.ar/espacio6560-las-4-plumas-club-de-arte","LAS 4 PLUMAS CLUB DE ARTE","Islas Malvinas 2980","General San Martín","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Islas+Malvinas+2980%2C+General+San+Mart%C3%ADn%2C+Argentina","0","NaN"
"83","http://www.alternativateatral.com.ar/espacio2650-teatro-espanol","TEATRO ESPAÑOL","Moreno 670","General Villegas","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Moreno+670%2C+General+Villegas%2C+Argentina","0","NaN"
"84","http://www.alternativateatral.com.ar/espacio3090-fundacion-soldi","FUNDACION SOLDI","Obligado Esq. Gorriti","Glew","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Obligado+Esq%2E+Gorriti%2C+Glew%2C+Argentina","0","NaN"
"85","http://www.alternativateatral.com.ar/espacio4637-teatro-municipal-gonzales-chaves","TEATRO MUNICIPAL GONZALES CHAVES","SARMIENTO 158","Gonzales Chaves","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=SARMIENTO+158%2C+Gonzales+Chaves%2C+Argentina","0","NaN"
"86","http://www.alternativateatral.com.ar/espacio705-la-cochera","LA COCHERA","Larre 477","González Catán","Buenos Aires","Argentina","11-4051-9799","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Larre+477%2C+Gonz%C3%A1lez+Cat%C3%A1n%2C+Argentina","0","NaN"
"87","http://www.alternativateatral.com.ar/espacio3094-colegio-carmen-a-micheo","COLEGIO CARMEN A. MICHEO","MITRE 350 GRAL. ALVEAR","Gran Buenos Aires","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=MITRE+350+GRAL%2E+ALVEAR%2C+Gran+Buenos+Aires%2C+Argentina","0","NaN"
"88","http://www.alternativateatral.com.ar/espacio7141-teatro-la-tapera","TEATRO LA TAPERA","Reaños 655","Gregorio de Laferrere","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Rea%C3%B1os+655%2C+Gregorio+de+Laferrere%2C+Argentina","0","NaN"
"89","http://www.alternativateatral.com.ar/espacio3046-asociacion-de-fomento-villa-sarmiento","ASOCIACIÓN DE FOMENTO VILLA SARMIENTO","México 786 (y Alberti)","Haedo","Buenos Aires","Argentina","4658-4793","https://maps.google.com/maps?f=q&hl=es&geocode=&q=M%C3%A9xico+786+%28y+Alberti%29%2C+Haedo%2C+Argentina","0","NaN"
"90","http://www.alternativateatral.com.ar/espacio2881-salon-parroquial-santa-teresita","SALON PARROQUIAL- SANTA TERESITA","España 760 -","Henderson","Buenos Aires","Argentina","02314-45-1039","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Espa%C3%B1a+760+%2D%2C+Henderson%2C+Argentina","0","NaN"
"91","http://www.alternativateatral.com.ar/espacio5895-centro-cultural-benito-quinquela-martin","CENTRO CULTURAL BENITO QUINQUELA MARTIN","Dr Delfor Diaz 1660","Hurlingham","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Dr+Delfor+Diaz+1660%2C+Hurlingham%2C+Argentina","0","NaN"
"92","http://www.alternativateatral.com.ar/espacio4716-alma-espacio-de-arte","ALMA ESPACIO DE ARTE","El Dorado 2500","Ingeniero Maschwitz","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=El+Dorado+2500%2C+Ingeniero+Maschwitz%2C+Argentina","0","NaN"
"93","http://www.alternativateatral.com.ar/espacio7390-alsina-2074","ALSINA 2074","Alsina 2074","Ituzaingó","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Alsina+2074%2C+Ituzaing%C3%B3%2C+Argentina","0","NaN"
"94","http://www.alternativateatral.com.ar/espacio2608-teatro-del-paseo","TEATRO DEL PASÉO","Hipolito irigoyen (ex ruta 197), nº 3700, mercado concentrador","Jose C Paz","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Hipolito+irigoyen+%28ex+ruta+197%29%2C+n%C2%BA+3700%2C+mercado+concentrador%2C+Jose+C+Paz%2C+Argentina","0","NaN"
"95","http://www.alternativateatral.com.ar/espacio2700-auditorio-hugo-del-carril","AUDITORIO HUGO DEL CARRIL","Saenz Peña 4151","Jose Leon Suárez","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Saenz+Pe%C3%B1a+4151%2C+Jose+Leon+Su%C3%A1rez%2C+Argentina","0","NaN"
"96","http://www.alternativateatral.com.ar/espacio2758-arvum-iii","ARVUM  III","Chacabuco 275","Junín","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Chacabuco+275%2C+Jun%C3%ADn%2C+Argentina","0","NaN"
"97","http://www.alternativateatral.com.ar/espacio2987-cc-cultural-navegantes-del-sur","CC CULTURAL NAVEGANTES DEL SUR","Pedro de mendoza 1455","La Boca","Buenos Aires","Argentina","4361-9087","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Pedro+de+mendoza+1455%2C+La+Boca%2C+Argentina","0","NaN"
"98","http://www.alternativateatral.com.ar/espacio5397-tomas-spora-3160","TOMAS SPORA 3160","Tomas Spora 3160","La Lucila","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Tomas+Spora+3160%2C+La+Lucila%2C+Argentina","0","NaN"
"99","http://www.alternativateatral.com.ar/espacio5155-centro-cultural-el-rumbo","CENTRO CULTURAL EL RUMBO","Virrey Vertiz 4721","La matanza","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Virrey+Vertiz+4721%2C+La+matanza%2C+Argentina","0","NaN"
"100","http://www.alternativateatral.com.ar/espacio4752-1887-restaurant-y-espacio-de-arte","1887 RESTAURANT Y ESPACIO DE ARTE","6 esq. 56","La Plata","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=6+esq%2E+56%2C+La+Plata%2C+Argentina","0","NaN"
"101","http://www.alternativateatral.com.ar/espacio1717-casa-de-la-cultura-de-laferrere","CASA DE LA CULTURA DE LAFERRERE","Olegario Andrade 5792 1ro","Laferrere","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Olegario+Andrade+5792+1ro%2C+Laferrere%2C+Argentina","0","NaN"
